name;lat;lon;value
Haunetal-Wehrda;50,73837;9,660738;5,6
Alsfeld-Eifa;50,744591;9,344972;5,8
Neu-Ulrichstein;50,751337;9,022428;4,5
Burbach-Würgendorf;50,755647;8,125655;11,5
Uhlstädt-Kirchhasel-Niederkrossen;50,757711;11,517819;1
Harth-Pöllnitz Neundorf;50,767557;11,980954;0,6
Amöneburg-Rüdigheim;50,784041;8,954489;3,9
Chemnitz;50,791286;12,871977;0,4
Aachen-Orsbach;50,798281;6,02439;12,1
Stadtilm-Dienstedt;50,801787;11,169196;0,1
Sankt Egidien-Kuhschnappel;50,801951;12,636583;0,3
Eschenburg-Eibelshausen;50,805287;8,338217;12,9
Crimmitschau-Mannichswalde;50,813755;12,298537;0,6
Rosenthal-Bielatal;50,837726;14,071892;0,1
Salzungen, Bad-Gräfen-Nitzendorf;50,842634;10,251814;2,4
Neunkirchen-Seelscheid-Krawinkel;50,844636;7,371973;19,7
Kleiner Inselsberg;50,845847;10,480262;15,7
Cölbe, Kr. Marburg-Biedenkopf;50,849234;8,774517;3,9
Hersfeld, Bad;50,851957;9,737694;7,2
Ponitz;50,85443;12,421632;0,3
Köln/Bonn;50,864547;7,157524;17,9
Drei Gleichen-Mühlberg;50,868082;10,821072;0,2
Bucha;50,870041;11,502161;1,9
Gera-Leumnitz;50,881208;12,128885;0,7
Frankenberg-Altenhain;50,883649;13,042475;0,6
Neukirchen-Hauptschwenda;50,89228;9,40498;6,8
Waltershausen;50,896285;10,54834;6,7
Bertsdorf-Hörnitz;50,899151;14,745622;1,5
Bobeck;50,904081;11,798477;1,5
Berka, Bad (Flugplatz);50,907455;11,266477;1,4
Wetter/Hessen-Amönau;50,908663;8,692898;4,7
Dippoldiswalde-Reinberg;50,911626;13,708675;0,1
Jena (Sternwarte);50,925126;11,583023;1
Freiberg;50,926306;13,271085;1
Jülich (Kläranlage);50,931629;6,343119;6,9
Lichtenhain-Mittelndorf;50,938325;14,20938;0,8
Overath-Böke;50,965511;7,275302;22
Gilserberg-Moischeid;50,965565;9,050014;4,8
Gotha;50,965705;10,698824;0,9
Crossen/Elster-Nickelsdorf;50,977077;12,004398;1,1
Starkenberg-Tegkwitz;50,977086;12,341909;0,2
Erfurt-Weimar;50,982887;10,960753;0,1
Berleburg, Bad-Stünzel;50,983713;8,368331;9,1
Köln-Stammheim;50,989428;6,977688;16,5
Reichshof-Eckenhagen;50,990623;7,695754;12,3
Lohmen/Sachsen;50,993291;13,980718;0
Eisenach;51,000736;10,36211;6,8
Wilsdruff-Mohorn;51,006309;13,471027;0,1
Berleburg, Bad-Arfeld;51,014835;8,431837;6,8
Bedburg-Weiler Hohenholz;51,014895;6,517327;9,9
Weimar-Schöndorf;51,01765;11,354409;1,9
Dresden-Hosterwitz;51,022068;13,847006;0
Hörselberg-Hainich-Behringen;51,022141;10,514781;3,7
Dresden-Strehlen;51,024877;13,775023;0,2
Ostritz;51,026533;14,935677;0,1
Burgwald-Bottendorf;51,030568;8,814605;4,4
Zeitz;51,031411;12,14949;0,4
Heinsberg-Schleiden;51,041072;6,104239;7
Herleshausen-Archfeld;51,042484;10,14676;6,2
Meuselwitz;51,045188;12,298856;0,2
Nossen;51,050698;13,300254;0,2
Dürrhennersdorf;51,057725;14,612784;0,4
Sohland/Spree;51,059354;14,426617;2
Sontra;51,060686;9,926618;9,6
Battenberg-Hof Karlsburg;51,066152;8,537474;10,8
Wabern-Hebel;51,067003;9,382119;3,1
Dachwig;51,077772;10,861875;1
Osterfeld;51,08716;11,929265;0,8
Geringswalde-Altgeringswalde;51,088078;12,932593;0,9
Meinerzhagen-Redlendorf;51,089851;7,628924;16,9
Alperstedt;51,095024;11,047932;0,7
Naumburg/Saale-Kreipitzsch;51,10439;11,711157;1,8
Attendorn-Neulisternohl;51,114277;7,880705;8,3
Dormagen-Zons;51,115746;6,850995;17,1
Dresden-Klotzsche;51,127797;13,754251;0
Klipphausen-Garsebach;51,129431;13,432783;0
